contest_id	school_id	date	home_name	away_name	source	url
67c9df70-7ad9-47b1-8139-652a48ae0723	tx-cypress-cy-ranch	2026-09-04	Cy Ranch	C.E. King	nfhs	https://www.nfhsnetwork.com/events/texan-live/gamd7094f1a32
79736974-cb8f-423e-b4ba-9630cbeab34e	tx-mont-belvieu-barbers-hill	2026-09-04	Barbers Hill	Crosby	texanlive	https://www.texanlive.com/video/6a93966105c69843169a0669
8832e96a-c4e8-4d60-9b73-36739779d582	tx-austin-austin-westlake	2026-09-04	Austin Westlake	Trinity	nfhs	https://www.nfhsnetwork.com/events/uil/gamf0b5d1aee3
93f7f59a-3c65-495e-bcef-c907ecb04034	ca-santa-ana-mater-dei	2026-09-04	Mater Dei	Valor Christian	nfhs	https://www.nfhsnetwork.com/events/cifss/gamfac80b3a29
94b19f8d-c0f5-456e-9d89-7356fbbddc94	tx-katy-katy	2026-09-04	Dickinson	Katy	texanlive	https://www.texanlive.com/video/6a9396621ccf8d94729a0693
97862735-acdb-4c76-91f7-3bd03fce48d7	tx-humble-summer-creek	2026-09-04	Summer Creek	Strake Jesuit	texanlive	https://www.texanlive.com/video/6a93965ef9816d96560d9802
a0f3b803-108d-470c-bbf0-4a024ad456f5	tx-houston-langham-creek	2026-09-04	Langham Creek	Houston Stratford	texanlive	https://www.texanlive.com/video/6a93965b64fa2a87eae3e207
a317cfc6-38e6-4a15-b9bb-8b31125c27a3	tx-argyle-liberty-christian	2026-09-04	Celina	Liberty Christian	texanlive	https://www.texanlive.com/video/6a93966efa8f66ef3d0d9841
a8a0a443-6e67-4636-bbdf-8dbc66e87ac0	tx-arlington-martin	2026-09-04	Martin	Marcus	texanlive	https://www.texanlive.com/video/6a9396708925554e48c826b4
b838300d-5673-47e9-8b29-7105e654009a	tx-fort-worth-north-crowley	2026-09-04	North Crowley	Southlake Carroll	texanlive	https://www.texanlive.com/video/6a93966cfb456f94c99a0687
c8a3c0f3-aec2-4e3d-a2eb-9fdccf0ecf2d	tx-katy-katy-tompkins	2026-09-04	Katy Tompkins	Bridgeland	texanlive	https://www.texanlive.com/video/6a93965c8925554e48c82694
d2fb4236-b655-4361-a107-ede34e705582	tx-pflugerville-pflugerville-weiss	2026-09-04	Pflugerville Weiss	Lake Travis	texanlive	https://www.texanlive.com/video/6a93966905c69843169a067f
f3e03e63-20fc-404b-9955-4d7d36b2ccf2	tx-pearland-pearland	2026-09-04	Pearland	Katy Paetow	texanlive	https://www.texanlive.com/video/6a93965d8925554e48c826a1
f96f595e-0815-4c44-a4d0-6196a60af0b2	tx-melissa-melissa	2026-09-04	Melissa	Denton Guyer	texanlive	https://www.texanlive.com/video/6a93966f557db6be67c82658
6077bd3a-a2f4-4180-a048-d49898ded027	tx-spring-klein-oak	2026-09-05	Klein Oak	The Woodlands	texanlive	https://www.texanlive.com/video/6a93967505c69843169a0682
6077bd3a-a2f4-4180-a048-d49898ded027	tx-spring-klein-oak	2026-09-05	Klein Oak	The Woodlands	nfhs	https://www.nfhsnetwork.com/events/texan-live/gamfb89043201
848bc3c3-9af4-429a-b587-bad903386fc6	tx-humble-atascocita	2026-09-05	Atascocita	Cibolo Steele	texanlive	https://www.texanlive.com/video/6a939676557db6be67c82668
c4da17f2-330a-4dc2-92b6-d00271b89966	tx-tomball-tomball	2026-09-05	Cinco Ranch	Tomball	texanlive	https://www.texanlive.com/video/6a939675f9126c6d93e3e223
fe8e4bd8-2e32-4d2e-8929-eb36362cc78a	tx-prosper-prosper	2026-09-11	Prosper	Austin Westlake	nfhs	https://www.nfhsnetwork.com/events/uil/gam7c471e6f6a
21ba4df0-1f8a-4ee6-947d-bd2c0e758d9c	ca-san-juan-capistrano-jserra-catholic	2026-10-09	JSerra Catholic	Mater Dei	nfhs	https://www.nfhsnetwork.com/events/jserra-catholic-high-school-san-juan-capistrano-ca/gambc3616416a
c0881b4f-72a5-4a00-bf86-fc2116700570	tx-cedar-hill-cedar-hill	2026-10-23	Cedar Hill	DeSoto	nfhs	https://www.nfhsnetwork.com/events/cedar-hill-high-school-cedar-hill-tx/gam2c11b0817d
