fr_school_id	maxpreps_url	school_id	method	games_count
ky-paducah-paducah-tilghman	https://www.maxpreps.com/ky/paducah/paducah-tilghman-blue-tornado/football/schedule/	f97bf4e8-64d4-4167-9a61-1b97e967a508	search	11
md-great-mills-great-mills	https://www.maxpreps.com/md/great-mills/great-mills-hornets/football/schedule/	9288c438-3c71-46c2-b31d-61bb7bcbc950	search	11
ms-pass-christian-pass-christian	https://www.maxpreps.com/ms/pass-christian/pass-christian-pirates/football/schedule/	ce70f530-1df0-413a-8e1d-87c103e5bbae	search	11
ms-quitman-quitman	https://www.maxpreps.com/ms/quitman/quitman-panthers/football/schedule/	f5086e2a-95cc-468e-a1dc-05c11494bff3	search	11
nc-asheville-asheville	https://www.maxpreps.com/nc/asheville/asheville-cougars/football/schedule/	69aa4066-15c1-432b-8316-75c218b8bb9c	search	11
nc-haw-river-southeast-alamance	https://www.maxpreps.com/nc/haw-river/southeast-alamance-mascot/football/schedule/	b5ed61e7-73e1-4d16-8730-55f64f5eba61	search	11
pa-clairton-clairton	https://www.maxpreps.com/pa/clairton/clairton-bears/football/schedule/	ffff5ae2-f24d-4a5b-bdfe-08a74face5c6	search	11
tn-bartlett-bartlett	https://www.maxpreps.com/tn/bartlett/bartlett-panthers/football/schedule/	790979ae-7c7d-4157-8395-0af421a22466	search	11
tn-brentwood-brentwood	https://www.maxpreps.com/tn/brentwood/brentwood-bruins/football/schedule/	0f2ef28c-4236-47c9-8513-a574b89232cf	crosswalk	11
tn-whites-creek-whites-creek	https://www.maxpreps.com/tn/whites-creek/whites-creek-cobras/football/schedule/	1e3294cf-f817-4db1-9bda-3d09a01a957b	search	11
tx-aledo-aledo	https://www.maxpreps.com/tx/aledo/aledo-bearcats/football/schedule/	f26565c0-0ea0-4818-aa4c-c09863b7eac6	crosswalk	11
tx-arlington-mansfield-timberview	https://www.maxpreps.com/tx/arlington/mansfield-timberview-wolves/football/schedule/	ea5d461e-e9e0-483b-82a5-a4277a220dd2	search	11
tx-longview-longview	https://www.maxpreps.com/tx/longview/longview-lobos/football/schedule/	2c86ab29-2f04-4812-ac27-53de267a76af	crosswalk	11
tx-waxahachie-waxahachie	https://www.maxpreps.com/tx/waxahachie/waxahachie-indians/football/schedule/	ee4981b9-3b4c-462c-9ac7-cbb22ec1a98e	crosswalk	11
va-hampton-bethel	https://www.maxpreps.com/va/hampton/bethel-bruins/football/schedule/	8d244a08-b8e8-474f-9dd6-d6113e945d5f	crosswalk	11
va-highland-springs-highland-springs	https://www.maxpreps.com/va/highland-springs/highland-springs-springers/football/schedule/	087d9f01-76b6-4271-a573-5f9641d77cba	search	11
al-birmingham-a-h-parker	https://www.maxpreps.com/al/birmingham/parker-thundering-herd/football/schedule/	6615552f-de84-43b3-aabb-2f4324c73f24	search	10
