fr_school_id	maxpreps_url	games_count
ca-bellflower-saint-john-bosco	https://www.maxpreps.com/ca/bellflower/st-john-bosco-braves/football/schedule/	10
ca-berkeley-berkeley	https://www.maxpreps.com/ca/berkeley/berkeley-yellowjackets/football/schedule/	10
ca-compton-compton-centennial	https://www.maxpreps.com/ca/compton/centennial-apaches/football/schedule/	10
ca-downey-saint-pius-x-saint-matthias-academy	https://www.maxpreps.com/ca/downey/st-pius-x-st-matthias-academy-warriors/football/schedule/	12
ca-hayward-hayward	https://www.maxpreps.com/ca/hayward/hayward-farmers/football/schedule/	10
ca-inglewood-inglewood	https://www.maxpreps.com/ca/inglewood/inglewood-sentinels/football/schedule/	10
ca-long-beach-long-beach-polytechnic	https://www.maxpreps.com/ca/long-beach/long-beach-poly-jackrabbits/football/schedule/	11
ca-oakland-bishop-odowd	https://www.maxpreps.com/ca/oakland/bishop-odowd-dragons/football/schedule/	10
ca-oneals-minarets	https://www.maxpreps.com/ca/oneals/minarets-mustangs/football/schedule/	12
ca-palo-alto-junipero-serra	https://www.maxpreps.com/ca/san-mateo/junipero-serra-padres/football/schedule/	10
ca-sacramento-grant-union	https://www.maxpreps.com/ca/sacramento/grant-pacers/football/schedule/	11
ca-san-clemente-san-clemente	https://www.maxpreps.com/ca/san-clemente/san-clemente-tritons/football/schedule/	11
ca-san-diego-saint-augustine	https://www.maxpreps.com/ca/san-diego/st-augustine-saints/football/schedule/	10
ca-san-mateo-junipero-serra	https://www.maxpreps.com/ca/san-mateo/junipero-serra-padres/football/schedule/	10
ca-santa-monica-saint-monica-catholic	https://www.maxpreps.com/ca/santa-monica/st-monica-mariners/football/schedule/	10
ca-stockton-saint-marys	https://www.maxpreps.com/ca/stockton/st-marys-rams/football/schedule/	10
ca-sutter-sutter	https://www.maxpreps.com/ca/sutter/sutter-huskies/football/schedule/	11
ca-ventura-saint-bonaventure	https://www.maxpreps.com/ca/ventura/st-bonaventure-seraphs/football/schedule/	10
co-englewood-cherry-creek	https://www.maxpreps.com/co/greenwood-village/cherry-creek-bruins/football/schedule/	10
ct-avon-avon-old-farms	https://www.maxpreps.com/ct/avon/avon-old-farms-beavers/football/schedule/	12
ct-greenwich-brunswick-school	https://www.maxpreps.com/ct/greenwich/brunswick-school-bruins/football/schedule/	11
ct-greenwich-greenwich-country-day	https://www.maxpreps.com/ct/greenwich/greenwich-country-day-tigers/football/schedule/	11
ct-oakdale-saint-thomas-more	https://www.maxpreps.com/ct/oakdale/st-thomas-more-chancellors/football/schedule/	6
ct-suffield-suffield-academy	https://www.maxpreps.com/ct/suffield/suffield-academy-tigers/football/schedule/	10
ct-trumbull-saint-joseph	https://www.maxpreps.com/ct/trumbull/st-joseph-cadets/football/schedule/	19
ct-waterbury-holy-cross	https://www.maxpreps.com/ct/waterbury/holy-cross-crusaders/football/schedule/	13
dc-washington-gonzaga	https://www.maxpreps.com/dc/washington/gonzaga-eagles/football/schedule/	12
dc-washington-saint-johns-college	https://www.maxpreps.com/dc/washington/st-johns-cadets/football/schedule/	13
de-lewes-cape-henlopen	https://www.maxpreps.com/de/lewes/cape-henlopen-cape-henlopen/football/schedule/	11
de-middletown-appoquinimink	https://www.maxpreps.com/de/west-middletown/appoquinimink-jaguars/football/schedule/	13
de-middletown-middletown	https://www.maxpreps.com/de/middletown/middletown-cavaliers/football/schedule/	13
de-wilmington-salesianum	https://www.maxpreps.com/de/wilmington/salesianum-sallies/football/schedule/	12
fl-boca-raton-saint-andrews	https://www.maxpreps.com/fl/boca-raton/saint-andrews-scots/football/schedule/	12
