fr_school_id	org_key	slug	url
ok-tulsa-tulsa-union	6687	union-tulsa-ok	https://www.on3.com/high-school/union-tulsa-ok-6687/football/schedule/
pa-canonsburg-canon-mcmillan	23197	canon-mcmillan-canonsburg-pa	https://www.on3.com/high-school/canon-mcmillan-canonsburg-pa-23197/football/schedule/
pa-drexel-hill-monsignor-bonner	8999	monsignor-bonner-drexel-hill-pa	https://www.on3.com/high-school/monsignor-bonner-drexel-hill-pa-8999/football/schedule/
pa-philadelphia-imhotep-institute	9004	imhotep-institute-philadelphia-pa	https://www.on3.com/high-school/imhotep-institute-philadelphia-pa-9004/football/schedule/
pa-philadelphia-springside-chestnut-hill-academy	5407	chestnut-hill-academy-philadelphia-pa	https://www.on3.com/high-school/chestnut-hill-academy-philadelphia-pa-5407/football/schedule/
pa-pittsburgh-avonworth	19624	avonworth-pittsburgh-pa	https://www.on3.com/high-school/avonworth-pittsburgh-pa-19624/football/schedule/
sc-central-d-w-daniel	23425	d-w-daniel-central-sc	https://www.on3.com/high-school/d-w-daniel-central-sc-23425/football/schedule/
tn-brentwood-ravenwood	1444	ravenwood-brentwood-tn	https://www.on3.com/high-school/ravenwood-brentwood-tn-1444/football/schedule/
tn-knoxville-knoxville-catholic	22871	knoxville-catholic-knoxville-tn	https://www.on3.com/high-school/knoxville-catholic-knoxville-tn-22871/football/schedule/
tn-memphis-briarcrest-christian	21075	briarcrest-christian-memphis-tn	https://www.on3.com/high-school/briarcrest-christian-memphis-tn-21075/football/schedule/
tn-memphis-whitehaven	8570	whitehaven-memphis-tn	https://www.on3.com/high-school/whitehaven-memphis-tn-8570/football/schedule/
tn-nashville-montgomery-bell-academy	1448	montgomery-bell-academy	https://www.on3.com/high-school/montgomery-bell-academy-1448/football/schedule/
tx-fulshear-katy-jordan	12837	katy-jordan-fulshear-tx	https://www.on3.com/high-school/katy-jordan-fulshear-tx-12837/football/schedule/
tx-lucas-lovejoy	2206	lovejoy-lucas-tx	https://www.on3.com/high-school/lovejoy-lucas-tx-2206/football/schedule/
tx-mount-pleasant-mount-pleasant	2093	mount-pleasant-mount-pleasant-tx	https://www.on3.com/high-school/mount-pleasant-mount-pleasant-tx-2093/football/schedule/
tx-texarkana-texarkana-pleasant-grove	16372	pleasant-grove-texarkana-tx	https://www.on3.com/high-school/pleasant-grove-texarkana-tx-16372/football/schedule/
ut-lehi-skyridge	1732	skyridge-lehi-ut	https://www.on3.com/high-school/skyridge-lehi-ut-1732/football/schedule/
va-ashburn-stone-bridge	22209	stone-bridge-ashburn-va	https://www.on3.com/high-school/stone-bridge-ashburn-va-22209/football/schedule/
va-richmond-hermitage	11486	hermitage-richmond-va	https://www.on3.com/high-school/hermitage-richmond-va-11486/football/schedule/
wa-sammamish-eastside-catholic	22089	eastside-catholic-sammamish-wa	https://www.on3.com/high-school/eastside-catholic-sammamish-wa-22089/football/schedule/
wi-green-bay-notre-dame-de-la-baie-academy	23475	notre-dame-de-la-baie-academy-green-bay-wi	https://www.on3.com/high-school/notre-dame-de-la-baie-academy-green-bay-wi-23475/football/schedule/
wi-hartland-arrowhead	16310	arrowhead-hartland-wi	https://www.on3.com/high-school/arrowhead-hartland-wi-16310/football/schedule/
wi-verona-verona-area	3815	verona-area-verona-wi	https://www.on3.com/high-school/verona-area-verona-wi-3815/football/schedule/
